game_id,shot_id,timestamp,step_type,best_strategy,chosen_score,candidate_count,avg_cand_score,max_cand_score,score_spread
1,1,1767786836.7045748,Break,break_expert,281.7119368681575,8,174.70310132034808,281.7119368681575,179.4119368681575
1,2,1767786846.0053499,Break,break_expert,278.4746307911548,8,189.9928243578381,278.4746307911548,222.6276390400438
1,3,1767786853.009669,Break,break_expert,286.43604834511075,8,136.9836711120386,286.43604834511075,229.13604834511074
1,4,1767786859.635548,Safety,offense,96.87500214733416,30,16.82210867904624,96.87500214733416,118.60548924802897
1,5,1767786861.1993635,Safety,offense,48.40763512712105,23,1.9283603432473284,48.40763512712105,149.2321778565663
1,6,1767786864.9570477,Safety,offense,94.0763213620652,30,49.79843527228477,94.0763213620652,72.65230712703078
1,7,1767786869.4892654,Safety,offense,85.1362871681496,30,53.81776935049685,85.1362871681496,43.96291025795525
1,8,1767786873.306211,Safety,offense,90.86592774948151,30,50.90774452271288,90.86592774948151,56.92158715457255
1,9,1767786876.7200484,Safety,offense,97.05438620349405,30,49.09985217830567,97.05438620349405,60.92590833108968
1,10,1767786880.85327,Safety,offense,61.821087929445504,30,32.47211176557191,61.821087929445504,76.04795760463776
1,11,1767786885.1721776,Safety,offense,92.9557650428805,30,49.38077865972017,92.9557650428805,94.76557024649894
1,12,1767786888.4961188,Safety,offense,90.81228416856788,30,55.85942060706714,90.81228416856788,55.793621730407345
1,13,1767786890.9481957,Safety,offense,87.09418754667912,30,44.97371023003235,87.09418754667912,116.9340943955294
1,14,1767786894.0058584,Safety,offense,78.50152444033269,30,44.47285339981601,78.50152444033269,45.23678356534092
1,15,1767786896.2744613,Safety,offense,78.05900294336557,30,48.746071395804464,78.05900294336557,88.31811706990447
1,16,1767786897.610417,Safety,offense,76.26609028440264,20,1.2224766566145444,76.26609028440264,176.66609028440266
1,17,1767786901.9757845,Base_eight,offense,149.83466777068938,30,112.66245146735535,149.83466777068938,112.56563902967554
2,1,1767786910.3736541,Break,break_expert,213.33736665002436,9,128.62341727885914,213.33736665002436,213.43736665002436
2,2,1767786920.984595,Break,break_expert,246.38389253173048,9,141.80864960239495,246.38389253173048,286.9342138914728
2,3,1767786933.541186,Break,break_expert,312.0746216434278,9,120.88299198984639,312.0746216434278,373.62692211911815
2,4,1767786946.2950692,Break,break_expert,194.6,9,109.87661868507794,194.6,217.2
2,5,1767786955.9613023,Safety,offense,90.17685058819806,30,46.75917417713199,90.17685058819806,68.87939271415195
2,6,1767786965.0249562,Safety,offense,52.93759450676888,30,43.11224812102629,52.93759450676888,19.07683348837869
2,7,1767786970.0170033,Safety,offense,83.18260162169973,30,7.645677218597786,83.18260162169973,104.22258950477978
2,8,1767786974.6959634,Safety,offense,70.0450745410627,30,31.085728580190725,70.0450745410627,58.688092011727015
2,9,1767786978.7817426,Safety,offense,84.89944404689395,30,35.58920603418213,84.89944404689395,103.6480325468609
2,10,1767786982.4956439,Safety,offense,66.52317359773842,30,11.024994918186842,66.52317359773842,114.30066337766564
2,11,1767786985.8259335,Safety,offense,105.9620544114995,30,54.684946013418376,105.9620544114995,93.43023845125141
2,12,1767786989.4841564,Safety,offense,105.90210911254832,30,48.35946818637084,105.90210911254832,115.58931642757747
2,13,1767786994.4459174,Safety,offense,80.57066773737226,30,44.27944612488584,80.57066773737226,61.27212077169574
2,14,1767786998.1267605,Safety,offense,106.50153369578743,30,44.094998711937926,106.50153369578743,132.41007090411887
2,15,1767787001.305327,Safety,offense,89.28662966847105,30,39.12268257678797,89.28662966847105,107.03926102672875
2,16,1767787004.9069133,Safety,offense,79.52991675329028,30,27.59062856949374,79.52991675329028,88.49385110074657
2,17,1767787007.8522806,Safety,offense,82.77856587889579,30,0.12439132023485623,82.77856587889579,123.20783724972722
2,18,1767787011.5508897,Safety,offense,90.74378423987139,30,50.88026928220203,90.74378423987139,56.675462145790064
2,19,1767787013.7980301,Safety,offense,93.61906607819685,30,49.185637954639915,93.61906607819685,76.9277218356824
2,20,1767787014.9296675,Safety,offense,79.28212509039894,20,29.393981322948793,79.28212509039894,129.51320146509786
2,21,1767787019.554598,Base_eight,offense,130.0,30,29.578601143544333,130.0,164.36199409695172
3,1,1767787026.3617,Break,break_expert,231.04633236751414,9,157.6921927890048,231.04633236751414,145.58584833900989
3,2,1767787035.0213299,Break,break_expert,257.0554683824826,9,175.32876044612283,257.0554683824826,148.5355176252396
3,3,1767787040.9208717,Break,break_expert,229.78539671262337,9,150.7099331873855,229.78539671262337,207.38539671262336
3,4,1767787048.3018844,Safety,offense,87.75883093016434,30,49.049829410486815,87.75883093016434,54.1872032812937
3,5,1767787053.3591833,Safety,offense,106.4763850223341,30,45.09714956027437,106.4763850223341,113.22917757211037
3,6,1767787060.29006,Safety,offense,82.8372699724589,30,34.179672759742324,82.8372699724589,102.89783538876992
3,7,1767787065.5002441,Safety,offense,93.87970852165581,30,-0.33392946622841374,93.87970852165581,128.18411099845827
3,8,1767787070.1017046,Safety,offense,104.61702101037268,30,60.68030285699418,104.61702101037268,62.95395757857921
3,9,1767787074.8377013,Safety,offense,108.79439502297453,30,61.7073603385388,108.79439502297453,66.98458920212832
3,10,1767787078.2329504,Safety,offense,88.91746309052985,30,55.397637075678524,88.91746309052985,49.646176655002186
3,11,1767787081.0239098,Safety,offense,72.46336895263961,30,33.71065548571547,72.46336895263961,77.96291202063595
3,12,1767787083.0076447,Safety,offense,77.0851865770462,23,22.46772080552167,77.0851865770462,132.84278338189353
3,13,1767787086.6437209,Safety,offense,82.84355678053528,30,20.138772480929447,82.84355678053528,103.57334084372928
3,14,1767787086.8819485,Safety,safe,-18.428412919536964,2,-38.37972472368854,-18.428412919536964,39.90262360830316
3,15,1767787088.1897893,Safety,offense,94.64433061393278,20,34.989465009559396,94.64433061393278,156.37496970482476
3,16,1767787089.0154874,Safety,offense,48.21425046423545,8,0.5283184708740487,48.21425046423545,89.66538588439226
3,17,1767787090.3895278,Safety,offense,60.01086218335657,20,-22.23322650001159,60.01086218335657,744.8958202598255
3,18,1767787095.3472774,Base_eight,positional,130.0,30,18.80246386204518,130.0,154.7030713388242
4,1,1767787107.5777502,Break,break_expert,239.57679906004515,9,147.04914644244374,239.57679906004515,285.9556147905
4,2,1767787114.886161,Safety,offense,127.33710922126131,30,70.6579778611634,127.33710922126131,86.78634752066256
4,3,1767787120.194913,Safety,offense,81.2558920374101,30,33.86028845444236,81.2558920374101,88.58986782404384
4,4,1767787124.1397114,Safety,offense,89.53784650409769,30,22.20114083086061,89.53784650409769,113.0655853455708
4,5,1767787127.611645,Safety,offense,88.74807085538585,30,27.58021224296527,88.74807085538585,110.42991419982019
4,6,1767787130.0878305,Safety,offense,91.61236871267488,30,-20.909093780243133,91.61236871267488,185.32098261291384
4,7,1767787131.2719603,Safety,offense,58.88354851509562,19,1.0912535256386928,58.88354851509562,201.44894785292888
4,8,1767787136.2181847,Base_eight,balanced_eight,130.51192927741374,30,89.07028197942302,130.51192927741374,112.98030249331367
4,9,1767787136.3554797,Safety,safe,-16.342274829730293,1,-16.342274829730293,-16.342274829730293,0.0
4,10,1767787142.5499434,Base_eight,positional,-19.01518319723297,30,-23.81376657692289,-19.01518319723297,8.38436949346605
4,11,1767787146.4497929,Safety,offense,112.66290843064282,30,61.14521944010384,112.66290843064282,69.68444858206868
4,12,1767787149.766071,Safety,offense,90.67793295278086,30,39.79278874938093,90.67793295278086,133.07793295278086
4,13,1767787155.9643853,Base_eight,balanced_eight,130.65937210918588,30,37.81402750321237,130.65937210918588,172.44576170199346
5,1,1767787164.2403119,Break,break_expert,259.1489717436373,8,164.1068968712944,259.1489717436373,260.94492275505326
5,2,1767787176.0633504,Safety,offense,62.338282186805735,30,26.240596166885894,62.338282186805735,79.80457582884513
5,3,1767787179.8680596,Safety,offense,89.22861928747062,30,50.55108808942345,89.22861928747062,57.07295784659796
5,4,1767787185.0842757,Safety,offense,55.054630013849724,30,30.44454232779613,55.054630013849724,45.59318261923432
5,5,1767787190.5733216,Safety,offense,87.48429789107108,30,4.878815414554922,87.48429789107108,116.0610568811159
5,6,1767787195.698865,Safety,offense,88.49319675448838,30,45.84171219803066,88.49319675448838,57.377483811842424
