Agent,Win Rate,Potting Accuracy,Foul Rate,Avg Streak,Max Streak,Avg Shots per Win
BasicAgent,12.0,7.975460122699387,39.263803680981596,1.1515151515151516,2,6.666666666666667
NewAgentFinal,88.0,45.18716577540107,31.951871657754012,2.1818181818181817,7,15.931818181818182
